id,Район,Наименование организации,Сокращенное наименование,Адрес,Руководитель,Телефон,Факс,Электронная почта,Муниципальное образование,ИНН,ОГРН,latitude,longitude
1,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №6 Выборгского района Санкт-Петербурга,ГБОУ школа №6 Выборгского района Санкт-Петербурга,"Санкт-Петербург, ул.Дрезденская, 13",Наумова Алла Евменьевна,417-51-04,417-51-05,006@shko.la,Светлановское,7802142926,1027801541602,30.331110,60.013416
2,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №60 Выборгского района Санкт-Петербурга,ГБОУ школа №60 Выборгского района Санкт-Петербурга,"Санкт-Петербург, пр.Художников, д.9, корп.3, лит. А",Ножницкая Ирина Юльевна,510-60-01,510-63-97,060@shko.la,Сосновское,7802144641,1027801583336,30.348978,60.035466
3,Выборгский,Государственное общеобразовательное учреждение гимназия №61 Выборгского района Санкт-Петербурга,ГБОУ гимназия №61 Выборгского района Санкт-Петербурга,"Санкт-Петербург, пр. Художников, 29/3",Казеева Татьяна Александровна,513-20-83,513-20-83,061@shko.la,МО № 15,7802123610,1027801583347,30.354224,60.044205
4,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №62 Выборгского района Санкт-Петербурга,ГБОУ школа №62 Выборгского района Санкт-Петербурга,"Санкт-Петербург, Поэтический бульвар, д.15, к.2,",Нистор Нина Васильевна,559-26-92,559-26-92,062@shko.la,МО № 15,7802142073,1027801583358,30.354132,60.040537
5,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №65 с углубленным изучением французского языка Выборгского района Санкт-Петербурга,ГБОУ школа №65 с углубленным изучением французского языка Выборгского района Санкт-Петербурга,"Санкт-Петербург, Учебный пер., 8/2, лит. А",Базунова Татьяна Николаевна,417-64-65,417-64-65,065@shko.la,Сосновское,7802147709,1027801583369,30.338108,60.039298
6,Выборгский,Государственное бюджетное общеобразовательное учреждение гимназия №73 «Ломоносовская гимназия» Выборгского района Санкт-Петербурга,ГБОУ гимназия №73 «Ломоносовская гимназия» Выборгского района Санкт-Петербурга,"Санкт-Петербург, пр.Энгельса, д.115, к.2",Яцкевич Ирина Геннадьевна,594-05-85,511-70-05,073@shko.la,Сосновское,7802112495,1027801583370,30.327460,60.039436
7,Выборгский,Государственное бюджетное общеобразовательное учреждение гимназия №74 Выборгского района Санкт-Петербурга,ГБОУ гимназия №74 Выборгского района Санкт-Петербурга,"Санкт-Петербург, Болотная ул., д.6",Лакко Алла Генриховна,417-63-89,417-63-90,074@shko.la,Светлановское,7802143567,1027801583380,30.351428,59.998531
8,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №76 Выборгского района Санкт-Петербурга,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №76 Выборгского района Санкт-Петербурга,"Санкт-Петербург, Болотная, д.18, лит. А",Ковалева Мария Игоревна,573-95-75,297-20-03,076@shko.la,Светлановское,7802141224,1027801583391,30.353990,60.003151
9,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №83 с углубленным изучением японского и английского языков Выборгского района Санкт-Петербурга,ГБОУ школа №83 с углубленным изучением японского и английского языков Выборгского района Санкт-Петербурга,"Санкт-Петербург, Сиреневый бульвар, д.18, к.2, лит.А",Полякова Наталья Альбертовна,242-31-72,242-31-71,083@shko.la,МО № 15,7802143711,1027801583688,30.360876,60.053416
10,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №90 Выборгского района Санкт-Петербурга,ГБОУ школа №90 Выборгского района Санкт-Петербурга,"Санкт-Петербург, ул.Сикейроса, д.5, к.2, лит.А",Богданова Елена Львовна,417-64-70,417-64-70,090@shko.la,Сосновское,7802141312,1027801583677,30.325429,60.033487
11,Выборгский,Государственное бюджетное общеобразовательное учреждение гимназия №92 Выборгского района Санкт-Петербурга,Государственное бюджетное общеобразовательное учреждение гимназия №92 Выборгского района Санкт-Петербурга,"Санкт-Петербург, пр.Тореза, д.94, к.1",Сочилин Сергей Борисович,293-98-34,293-98-34,092@shko.la,Светлановское,7802105160,1027801583655,30.334113,60.017551
12,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №94 с углубленным изучением информатики Выборгского района Санкт-Петербурга,ГБОУ школа №94 с углубленным изучением информатики Выборгского района Санкт-Петербурга,"Санкт-Петербург, ул.Симонова, д.8, к.1, литер А",Колегова Оксана Петровна,417-62-84,417-62-84,094@shko.la,Шувалово-Озерки,7802141513,1027801583644,30.322959,60.059105
13,Выборгский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №97 Выборгского района Санкт-Петербурга,ГБОУ школа №97 Выборгского района Санкт-Петербурга,"Санкт-Петербург, ул.Дрезденская, д.19, лит.А",Алексеева Юлия Леонидовна,417-33-30,417-33-28,097@shko.la,Светлановское,7802149135,1027801583633,30.334347,60.013641
14,Выборгский,Государственное бюджетное общеобразовательное учреждение лицей №101 Выборгского района Санкт-Петербурга,ГБОУ лицей №101 Выборгского района Санкт-Петербурга,"Санкт-Петербург, ул.Сикейроса, 17/1, литер А",Шевченко Инга Станиславовна,417-53-01,417-53-03,101@shko.la,Сосновское,7802142725,1027801583611,30.336125,60.034619
